AgeGroup,Gender,CityTier,Occupation,PlayFrequency,PlayingLevel,PlayLocation,Motivation_1,Motivation_2,RacketsOwned,PrimaryBrand,StringChangeFreq,Factor_1,Factor_2,LastPurchase,PurchaseChannel,Item_1,Item_2,PlayerType,BrandImportance,WillingToPayPremium,UsesFitnessApps,InterestInTracking,InterestInRecommendations,MonthlySpend,TooExpensivePrice,ScenarioResponse,InterestLevel,InterestBinary,EngagementScore,SeriousnessIndex,SpendingScore
18-24,Male,Tier 2,Others,3-5/week,Intermediate,Society/club,Socializing,Fitness,1,Decathlon,Rarely,Price,,1-3 months,Offline store,Shoes,Grips,Fitness-focused,Somewhat important,Yes,Yes,Yes,Maybe,500-1500,<2000,Buy immediately,Neutral,0,6,8,4
35-44,Male,Tier 1,Working Professional,Occasionally,Beginner,Outdoor,Stress relief,Socializing,1,Li-Ning,Never,Brand,Performance,1-3 months,Brand store,Strings,Shoes,Fitness-focused,Not important,Yes,Yes,Yes,Maybe,500-1500,2000-5000,Buy immediately,Unlikely,0,3,4,4
Under 18,Male,Tier 2,Student,1-2/week,Intermediate,Society/club,Fitness,,3+,Yonex,Rarely,Performance,Recommendation,1-3 months,Online,Strings,Shuttlecocks,Casual player,Somewhat important,No,No,Maybe,Yes,1500-3000,2000-5000,Buy immediately,Unlikely,0,5,7,6
25-34,Male,Tier 2,Working Professional,Occasionally,Beginner,Society/club,Socializing,Fitness,1,Others,Monthly,Price,,>6 months,Online,Shuttlecocks,Grips,Fitness-focused,Very important,Yes,Yes,Yes,Yes,500-1500,<2000,Buy immediately,Very likely,1,3,4,5
25-34,Male,Tier 2,Business Owner,Rarely,Beginner,Indoor courts,Competition,Socializing,2,Decathlon,Monthly,Price,Brand,1-3 months,Online,Strings,Shuttlecocks,Fitness-focused,Not important,Maybe,Yes,Yes,No,0-500,<2000,Buy immediately,Neutral,0,2,3,2
35-44,Female,Tier 2,Business Owner,Daily,Intermediate,Indoor courts,Socializing,Fitness,1,Yonex,2-3 months,Performance,,3-6 months,Brand store,Shoes,,Casual player,Somewhat important,Maybe,Yes,Yes,Maybe,1500-3000,2000-5000,Borrow,Likely,1,7,9,6
45+,Male,Tier 1,Business Owner,Daily,Advanced,Indoor courts,Stress relief,,3+,Li-Ning,2-3 months,Price,Performance,<1 month,Offline store,Strings,,Casual player,Somewhat important,Yes,No,Maybe,Yes,0-500,5000-10000,Buy immediately,Likely,1,8,11,2
Under 18,Female,Tier 1,Student,Occasionally,Intermediate,Outdoor,Stress relief,,2,Yonex,Rarely,Price,,1-3 months,Offline store,Shuttlecocks,Strings,Fitness-focused,Somewhat important,Yes,Yes,Maybe,Yes,0-500,<2000,Buy branded,Likely,1,4,6,2
18-24,Female,Tier 3,Working Professional,1-2/week,Intermediate,Outdoor,Competition,,2,Yonex,2-3 months,Performance,Brand,>6 months,Online,Shuttlecocks,Grips,Fitness-focused,Very important,Yes,Yes,No,Maybe,0-500,2000-5000,Buy immediately,Neutral,0,5,7,3
35-44,Male,Tier 3,Working Professional,3-5/week,Beginner,Society/club,Stress relief,,1,Decathlon,Never,Performance,Recommendation,<1 month,Offline store,Strings,Grips,Casual player,Not important,Maybe,No,Maybe,Yes,0-500,5000-10000,Borrow,Likely,1,5,6,2
18-24,Male,Tier 1,Working Professional,1-2/week,Beginner,Indoor courts,Fitness,Stress relief,1,Decathlon,Never,Price,Performance,3-6 months,Brand store,Shuttlecocks,,Competitive player,Somewhat important,Maybe,No,No,Yes,0-500,2000-5000,Borrow,Very likely,1,4,5,2
25-34,Female,Tier 2,Working Professional,Daily,Intermediate,Indoor courts,Socializing,Stress relief,2,Yonex,Monthly,Price,,1-3 months,Offline store,Apparel,Grips,Fitness-focused,Somewhat important,Maybe,Yes,Maybe,Yes,0-500,<2000,Buy immediately,Likely,1,7,9,2
25-34,Male,Tier 2,Working Professional,3-5/week,Competitive,Indoor courts,Socializing,,2,Li-Ning,Monthly,Recommendation,Price,<1 month,Online,Strings,,Competitive player,Very important,Yes,Yes,Maybe,Yes,3000+,5000-10000,Buy branded,Likely,1,8,12,9
25-34,Male,Tier 2,Working Professional,1-2/week,Beginner,Society/club,Fitness,Socializing,3+,Others,Never,Performance,Recommendation,1-3 months,Online,Shoes,Shuttlecocks,Casual player,Not important,No,Yes,Maybe,Maybe,500-1500,2000-5000,Skip,Likely,1,4,5,4
45+,Female,Tier 2,Business Owner,Occasionally,Intermediate,Society/club,Stress relief,Fitness,3+,Decathlon,2-3 months,Performance,Recommendation,<1 month,Offline store,Strings,Apparel,Casual player,Somewhat important,Maybe,No,Maybe,Maybe,3000+,<2000,Buy immediately,Likely,1,4,6,8
45+,Male,Tier 1,Working Professional,1-2/week,Intermediate,Outdoor,Competition,,2,Li-Ning,2-3 months,Performance,Brand,3-6 months,Online,Apparel,,Fitness-focused,Not important,No,Yes,Yes,Maybe,1500-3000,5000-10000,Skip,Unlikely,0,5,7,6
25-34,Female,Tier 2,Working Professional,1-2/week,Beginner,Society/club,Stress relief,,1,Decathlon,Rarely,Performance,Brand,1-3 months,Offline store,Strings,Shuttlecocks,Competitive player,Somewhat important,Yes,No,Yes,Maybe,3000+,5000-10000,Skip,Likely,1,4,5,8
18-24,Male,Tier 1,Student,Occasionally,Beginner,Society/club,Socializing,,1,Decathlon,Rarely,Price,Performance,1-3 months,Offline store,Grips,Strings,Fitness-focused,Not important,Yes,Yes,Maybe,No,0-500,<2000,Buy immediately,Unlikely,0,3,4,2
35-44,Female,Tier 2,Working Professional,1-2/week,Beginner,Outdoor,Competition,,2,Decathlon,Never,Price,Recommendation,3-6 months,Brand store,Shoes,,Fitness-focused,Not important,No,No,Maybe,No,0-500,5000-10000,Skip,Neutral,0,4,5,2
Under 18,Male,Tier 3,Student,Occasionally,Competitive,Outdoor,Fitness,,3+,Yonex,Monthly,Brand,,>6 months,Online,Shuttlecocks,Grips,Competitive player,Very important,Maybe,No,Yes,No,1500-3000,2000-5000,Buy immediately,Very likely,1,6,10,7
18-24,Male,Tier 2,Student,Occasionally,Advanced,Society/club,Socializing,Fitness,1,Yonex,2-3 months,Performance,Price,>6 months,Offline store,Strings,Shoes,Fitness-focused,Somewhat important,Yes,No,Yes,Yes,1500-3000,2000-5000,Buy immediately,Very likely,1,5,8,6
35-44,Male,Tier 1,Business Owner,3-5/week,Intermediate,Indoor courts,Socializing,,2,Decathlon,Never,Price,,<1 month,Online,Apparel,Grips,Casual player,Somewhat important,No,No,Yes,Yes,0-500,<2000,Borrow,Likely,1,6,8,2
18-24,Male,Tier 3,Student,1-2/week,Intermediate,Society/club,Fitness,Competition,2,Yonex,Rarely,Price,,3-6 months,Offline store,Grips,Strings,Competitive player,Somewhat important,Maybe,No,Yes,Yes,1500-3000,<2000,Buy branded,Very likely,1,5,7,6
18-24,Female,Tier 3,Working Professional,Rarely,Beginner,Outdoor,Fitness,,1,Decathlon,Never,Price,Recommendation,3-6 months,Online,Strings,,Fitness-focused,Somewhat important,Maybe,No,No,Maybe,0-500,<2000,Skip,Neutral,0,2,3,2
Under 18,Male,Tier 3,Student,Rarely,Beginner,Outdoor,Stress relief,Fitness,1,Yonex,2-3 months,Performance,Brand,3-6 months,Offline store,Shuttlecocks,Apparel,Fitness-focused,Very important,Yes,No,Maybe,No,0-500,<2000,Buy immediately,Neutral,0,2,3,3
35-44,Female,Tier 2,Working Professional,3-5/week,Intermediate,Society/club,Competition,Stress relief,2,Yonex,2-3 months,Recommendation,Performance,1-3 months,Online,Shuttlecocks,Shoes,Fitness-focused,Very important,Maybe,No,No,Yes,1500-3000,2000-5000,Buy immediately,Very likely,1,6,8,7
25-34,Male,Tier 1,Working Professional,Daily,Competitive,Outdoor,Stress relief,Socializing,1,Yonex,Monthly,Recommendation,Performance,1-3 months,Brand store,Grips,Strings,Competitive player,Somewhat important,No,No,Yes,Yes,3000+,<2000,Buy immediately,Likely,1,9,13,8
25-34,Male,Tier 3,Others,3-5/week,Beginner,Indoor courts,Competition,Fitness,1,Others,Never,Price,Brand,1-3 months,Brand store,Strings,,Fitness-focused,Somewhat important,No,Yes,Maybe,Maybe,500-1500,<2000,Borrow,Likely,1,5,6,4
18-24,Male,Tier 2,Working Professional,1-2/week,Beginner,Outdoor,Socializing,Fitness,1,Decathlon,Never,Price,Recommendation,>6 months,Offline store,Shuttlecocks,Shoes,Casual player,Somewhat important,Maybe,No,No,No,0-500,<2000,Borrow,Neutral,0,4,5,2
35-44,Male,Tier 3,Working Professional,1-2/week,Beginner,Outdoor,Fitness,Socializing,2,Yonex,Rarely,Price,Performance,3-6 months,Offline store,Strings,Apparel,Fitness-focused,Not important,Maybe,Yes,Maybe,Maybe,0-500,2000-5000,Borrow,Likely,1,4,5,2
35-44,Male,Tier 1,Business Owner,1-2/week,Beginner,Society/club,Competition,Fitness,1,Others,Rarely,Brand,Price,1-3 months,Offline store,Shuttlecocks,Strings,Casual player,Not important,No,No,Yes,Yes,0-500,<2000,Buy immediately,Very likely,1,4,5,2
18-24,Male,Tier 1,Student,Occasionally,Intermediate,Outdoor,Stress relief,Fitness,2,Li-Ning,2-3 months,Recommendation,Performance,3-6 months,Brand store,Grips,,Competitive player,Not important,Maybe,No,Maybe,No,1500-3000,2000-5000,Buy branded,Neutral,0,4,6,6
18-24,Female,Tier 3,Student,1-2/week,Competitive,Outdoor,Fitness,,3+,Yonex,Monthly,Brand,Recommendation,<1 month,Offline store,Apparel,Strings,Competitive player,Very important,Yes,No,No,Yes,3000+,5000-10000,Buy immediately,Very likely,1,7,11,9
18-24,Female,Tier 2,Student,Occasionally,Intermediate,Indoor courts,Stress relief,Competition,3+,Li-Ning,2-3 months,Recommendation,Price,1-3 months,Online,Shuttlecocks,,Competitive player,Very important,Yes,Yes,Yes,Yes,500-1500,2000-5000,Buy immediately,Very likely,1,4,6,5
45+,Male,Tier 1,Working Professional,Daily,Advanced,Indoor courts,Socializing,Competition,1,Yonex,2-3 months,Recommendation,Brand,<1 month,Offline store,Grips,Shoes,Aspiring professional,Very important,Yes,No,Yes,Yes,1500-3000,5000-10000,Buy immediately,Very likely,1,8,11,7
25-34,Male,Tier 1,Working Professional,Daily,Competitive,Society/club,Fitness,,1,Yonex,Monthly,Brand,Recommendation,>6 months,Online,Shuttlecocks,Shoes,Competitive player,Very important,Maybe,Yes,Yes,Yes,1500-3000,10000+,Buy immediately,Very likely,1,9,13,7
45+,Male,Tier 2,Business Owner,1-2/week,Competitive,Outdoor,Competition,,2,Decathlon,Monthly,Performance,,3-6 months,Offline store,Grips,Apparel,Competitive player,Somewhat important,Maybe,Yes,Yes,No,3000+,10000+,Buy immediately,Very likely,1,7,11,8
18-24,Male,Tier 1,Student,Daily,Competitive,Indoor courts,Fitness,,3+,Li-Ning,Monthly,Performance,,<1 month,Online,Grips,,Competitive player,Very important,Yes,No,Yes,Yes,500-1500,2000-5000,Buy branded,Likely,1,9,13,5
35-44,Male,Tier 2,Business Owner,1-2/week,Beginner,Society/club,Socializing,,1,Decathlon,2-3 months,Price,Recommendation,1-3 months,Brand store,Strings,Grips,Casual player,Very important,Maybe,No,Maybe,Maybe,0-500,<2000,Buy immediately,Unlikely,0,4,5,3
35-44,Male,Tier 2,Working Professional,Occasionally,Beginner,Outdoor,Stress relief,Socializing,2,Yonex,Rarely,Recommendation,Brand,1-3 months,Brand store,Shuttlecocks,Grips,Casual player,Very important,Yes,No,Yes,Maybe,500-1500,<2000,Skip,Likely,1,3,4,5
25-34,Female,Tier 3,Working Professional,3-5/week,Intermediate,Indoor courts,Competition,Fitness,1,Yonex,Monthly,Recommendation,Brand,<1 month,Online,Strings,Shoes,Casual player,Very important,Yes,Yes,No,Yes,3000+,5000-10000,Borrow,Likely,1,6,8,9
45+,Female,Tier 1,Business Owner,Occasionally,Intermediate,Indoor courts,Fitness,,2,Others,2-3 months,Price,Brand,3-6 months,Online,Grips,Apparel,Casual player,Somewhat important,Yes,Yes,Yes,Maybe,1500-3000,5000-10000,Skip,Neutral,0,4,6,6
18-24,Male,Tier 3,Working Professional,1-2/week,Intermediate,Society/club,Fitness,Socializing,1,Yonex,Rarely,Brand,Price,1-3 months,Offline store,Shuttlecocks,,Casual player,Very important,Yes,Yes,No,Yes,1500-3000,<2000,Buy immediately,Likely,1,5,7,7
Under 18,Male,Tier 1,Others,Daily,Advanced,Indoor courts,Fitness,,2,Li-Ning,Monthly,Price,Brand,3-6 months,Online,Shuttlecocks,Grips,Aspiring professional,Somewhat important,Yes,No,Yes,Yes,500-1500,2000-5000,Buy branded,Very likely,1,8,11,4
25-34,Male,Tier 2,Working Professional,1-2/week,Intermediate,Indoor courts,Fitness,Competition,1,Li-Ning,Never,Brand,Recommendation,<1 month,Offline store,Strings,Grips,Competitive player,Somewhat important,No,No,Yes,Maybe,500-1500,2000-5000,Borrow,Very likely,1,5,7,4
25-34,Female,Tier 1,Business Owner,Occasionally,Competitive,Indoor courts,Fitness,,2,Yonex,2-3 months,Performance,,3-6 months,Offline store,Grips,Apparel,Competitive player,Somewhat important,No,Yes,Maybe,No,1500-3000,2000-5000,Buy immediately,Neutral,0,6,10,6
25-34,Male,Tier 2,Business Owner,1-2/week,Intermediate,Indoor courts,Socializing,Fitness,2,Others,2-3 months,Price,Recommendation,1-3 months,Online,Shuttlecocks,Grips,Casual player,Very important,Yes,Yes,Maybe,Maybe,1500-3000,5000-10000,Buy branded,Unlikely,0,5,7,7
18-24,Male,Tier 3,Student,1-2/week,Advanced,Outdoor,Socializing,Fitness,3+,Yonex,Monthly,Price,Performance,>6 months,Offline store,Shoes,Strings,Fitness-focused,Somewhat important,Yes,No,Maybe,No,0-500,<2000,Borrow,Very likely,1,6,9,2
25-34,Female,Tier 3,Working Professional,Rarely,Beginner,Outdoor,Socializing,,1,Decathlon,Never,Recommendation,Performance,3-6 months,Online,Strings,Shuttlecocks,Fitness-focused,Somewhat important,Maybe,No,Maybe,Maybe,0-500,<2000,Borrow,Unlikely,0,2,3,2
18-24,Male,Tier 2,Student,Occasionally,Intermediate,Society/club,Fitness,Competition,2,Decathlon,2-3 months,Price,Recommendation,1-3 months,Brand store,Strings,Shuttlecocks,Fitness-focused,Somewhat important,Maybe,No,Yes,Yes,1500-3000,<2000,Buy immediately,Very likely,1,4,6,6
18-24,Male,Tier 2,Student,3-5/week,Beginner,Society/club,Fitness,,2,Decathlon,Rarely,Brand,Performance,<1 month,Online,Strings,,Casual player,Not important,Yes,Yes,Yes,No,0-500,2000-5000,Buy immediately,Likely,1,5,6,2
25-34,Male,Tier 3,Working Professional,Occasionally,Beginner,Outdoor,Socializing,Fitness,1,Decathlon,Never,Recommendation,Price,1-3 months,Online,Shuttlecocks,Strings,Casual player,Very important,Maybe,No,No,Yes,1500-3000,2000-5000,Buy immediately,Neutral,0,3,4,7
25-34,Male,Tier 3,Others,1-2/week,Intermediate,Outdoor,Fitness,,2,Decathlon,Monthly,Price,,>6 months,Brand store,Shuttlecocks,,Fitness-focused,Somewhat important,Maybe,Yes,No,Maybe,3000+,2000-5000,Borrow,Likely,1,5,7,8
18-24,Male,Tier 3,Student,Occasionally,Beginner,Outdoor,Fitness,Competition,1,Decathlon,Rarely,Price,,3-6 months,Offline store,Shuttlecocks,Grips,Casual player,Not important,No,No,No,Maybe,3000+,5000-10000,Borrow,Neutral,0,3,4,8
18-24,Male,Tier 1,Working Professional,1-2/week,Beginner,Indoor courts,Socializing,Fitness,1,Others,Never,Price,,1-3 months,Brand store,Grips,Strings,Casual player,Not important,No,No,Yes,Yes,500-1500,2000-5000,Borrow,Likely,1,4,5,4
18-24,Male,Tier 3,Working Professional,3-5/week,Intermediate,Outdoor,Socializing,Fitness,1,Others,Rarely,Performance,Recommendation,1-3 months,Online,Shuttlecocks,Apparel,Fitness-focused,Very important,Yes,No,Maybe,Yes,500-1500,<2000,Buy branded,Neutral,0,6,8,5
18-24,Male,Tier 1,Student,1-2/week,Intermediate,Society/club,Stress relief,,1,Yonex,Rarely,Performance,,1-3 months,Online,Shoes,Shuttlecocks,Competitive player,Somewhat important,Yes,No,Yes,Yes,1500-3000,<2000,Buy immediately,Very likely,1,5,7,6
35-44,Female,Tier 1,Working Professional,1-2/week,Intermediate,Indoor courts,Stress relief,,2,Li-Ning,2-3 months,Brand,Performance,1-3 months,Online,Apparel,,Casual player,Very important,Yes,No,No,Maybe,1500-3000,2000-5000,Buy branded,Likely,1,5,7,7
45+,Male,Tier 1,Business Owner,1-2/week,Intermediate,Indoor courts,Competition,,1,Li-Ning,Rarely,Brand,,<1 month,Brand store,Grips,,Casual player,Not important,No,No,Maybe,Yes,0-500,<2000,Buy immediately,Neutral,0,5,7,2
18-24,Male,Tier 1,Working Professional,Occasionally,Beginner,Society/club,Socializing,,1,Li-Ning,Monthly,Price,Brand,>6 months,Online,Strings,Shuttlecocks,Fitness-focused,Not important,No,Yes,No,No,0-500,2000-5000,Borrow,Unlikely,0,3,4,2
35-44,Female,Tier 3,Others,Occasionally,Intermediate,Indoor courts,Competition,Fitness,2,Yonex,2-3 months,Brand,,>6 months,Offline store,Grips,Shuttlecocks,Casual player,Somewhat important,Maybe,No,Maybe,Maybe,1500-3000,2000-5000,Buy immediately,Likely,1,4,6,6
35-44,Female,Tier 3,Working Professional,1-2/week,Advanced,Society/club,Stress relief,,2,Yonex,Monthly,Price,,3-6 months,Offline store,Apparel,Shuttlecocks,Fitness-focused,Very important,Yes,No,Yes,Yes,1500-3000,10000+,Buy immediately,Neutral,0,6,9,7
35-44,Female,Tier 3,Business Owner,1-2/week,Intermediate,Society/club,Fitness,Stress relief,1,Decathlon,Monthly,Performance,Price,<1 month,Offline store,Grips,Shuttlecocks,Casual player,Very important,No,No,Yes,Maybe,500-1500,<2000,Borrow,Likely,1,5,7,5
18-24,Male,Tier 2,Student,1-2/week,Beginner,Society/club,Fitness,Competition,1,Decathlon,Never,Price,Brand,3-6 months,Online,Strings,Shoes,Fitness-focused,Not important,No,No,No,Maybe,0-500,<2000,Skip,Unlikely,0,4,5,2
45+,Male,Tier 2,Business Owner,1-2/week,Beginner,Outdoor,Stress relief,Fitness,3+,Others,Monthly,Performance,Recommendation,1-3 months,Online,Shuttlecocks,Strings,Casual player,Somewhat important,No,Yes,Yes,No,500-1500,2000-5000,Borrow,Likely,1,4,5,4
18-24,Female,Tier 2,Student,Rarely,Intermediate,Society/club,Stress relief,Socializing,1,Decathlon,2-3 months,Brand,,>6 months,Offline store,Grips,Shuttlecocks,Fitness-focused,Somewhat important,Maybe,Yes,Yes,No,0-500,2000-5000,Buy immediately,Neutral,0,3,5,2
18-24,Female,Tier 1,Student,1-2/week,Beginner,Society/club,Stress relief,,1,Li-Ning,Rarely,Performance,Price,1-3 months,Offline store,Shuttlecocks,,Casual player,Somewhat important,Maybe,No,No,No,0-500,2000-5000,Buy immediately,Neutral,0,4,5,2
Under 18,Male,Tier 3,Student,3-5/week,Advanced,Society/club,Stress relief,Fitness,1,Yonex,Monthly,Performance,Price,<1 month,Offline store,Strings,Shuttlecocks,Competitive player,Somewhat important,No,Yes,Yes,Yes,500-1500,10000+,Buy immediately,Very likely,1,7,10,4
18-24,Female,Tier 2,Student,1-2/week,Beginner,Society/club,Stress relief,Fitness,1,Decathlon,Rarely,Brand,,3-6 months,Online,Shuttlecocks,Strings,Casual player,Somewhat important,No,No,Maybe,No,1500-3000,2000-5000,Buy immediately,Likely,1,4,5,6
Under 18,Male,Tier 2,Student,1-2/week,Beginner,Society/club,Fitness,Competition,1,Others,Rarely,Price,Brand,<1 month,Brand store,Shoes,Apparel,Casual player,Not important,Maybe,Yes,Yes,Maybe,500-1500,2000-5000,Skip,Likely,1,4,5,4
18-24,Prefer not to say,Tier 2,Working Professional,1-2/week,Intermediate,Outdoor,Socializing,Fitness,3+,Decathlon,Rarely,Price,Performance,1-3 months,Online,Strings,Shuttlecocks,Casual player,Not important,Maybe,No,Yes,Maybe,1500-3000,<2000,Buy immediately,Neutral,0,5,7,6
18-24,Female,Tier 3,Student,1-2/week,Intermediate,Society/club,Socializing,Stress relief,2,Decathlon,Rarely,Performance,Brand,1-3 months,Online,Strings,Shuttlecocks,Fitness-focused,Somewhat important,Maybe,No,Maybe,Yes,1500-3000,2000-5000,Buy immediately,Likely,1,5,7,6
35-44,Female,Tier 1,Working Professional,3-5/week,Intermediate,Indoor courts,Socializing,Fitness,2,Decathlon,2-3 months,Brand,Price,1-3 months,Online,Shuttlecocks,,Competitive player,Not important,No,Yes,No,Yes,500-1500,<2000,Buy immediately,Likely,1,6,8,4
35-44,Female,Tier 1,Working Professional,Daily,Competitive,Indoor courts,Fitness,Socializing,2,Yonex,Never,Price,Brand,1-3 months,Online,Shuttlecocks,Shoes,Aspiring professional,Very important,Yes,No,No,Yes,1500-3000,2000-5000,Buy branded,Likely,1,9,13,7
18-24,Female,Tier 3,Working Professional,1-2/week,Intermediate,Outdoor,Fitness,Socializing,1,Yonex,Monthly,Brand,Recommendation,3-6 months,Offline store,Shuttlecocks,,Fitness-focused,Not important,No,No,Maybe,Maybe,3000+,10000+,Buy immediately,Unlikely,0,5,7,8
35-44,Male,Tier 2,Business Owner,1-2/week,Beginner,Outdoor,Fitness,,1,Li-Ning,Rarely,Price,Brand,<1 month,Offline store,Shoes,Strings,Casual player,Somewhat important,Maybe,Yes,Yes,Maybe,500-1500,2000-5000,Skip,Neutral,0,4,5,4
35-44,Male,Tier 3,Business Owner,Daily,Competitive,Society/club,Stress relief,,3+,Yonex,Never,Price,Performance,3-6 months,Online,Shuttlecocks,Strings,Competitive player,Very important,Maybe,No,Yes,Yes,3000+,5000-10000,Borrow,Neutral,0,9,13,9
35-44,Male,Tier 1,Working Professional,Occasionally,Intermediate,Indoor courts,Stress relief,,2,Yonex,2-3 months,Performance,Price,3-6 months,Brand store,Strings,Grips,Fitness-focused,Somewhat important,Yes,Yes,Maybe,Maybe,3000+,2000-5000,Buy immediately,Very likely,1,4,6,8
Under 18,Male,Tier 1,Student,1-2/week,Intermediate,Society/club,Socializing,Stress relief,1,Decathlon,2-3 months,Price,Recommendation,<1 month,Offline store,Shuttlecocks,Grips,Fitness-focused,Very important,Maybe,No,No,Maybe,500-1500,2000-5000,Skip,Very likely,1,5,7,5
25-34,Female,Tier 3,Business Owner,Rarely,Beginner,Outdoor,Competition,Fitness,1,Li-Ning,Rarely,Performance,Recommendation,1-3 months,Offline store,Shuttlecocks,Grips,Casual player,Very important,Maybe,No,Maybe,Maybe,500-1500,<2000,Borrow,Very likely,1,2,3,5
45+,Male,Tier 2,Working Professional,3-5/week,Advanced,Society/club,Competition,Fitness,2,Yonex,2-3 months,Price,Performance,3-6 months,Online,Shoes,,Casual player,Somewhat important,Yes,No,Yes,Yes,1500-3000,<2000,Buy branded,Very likely,1,7,10,6
25-34,Male,Tier 2,Working Professional,Daily,Competitive,Indoor courts,Competition,Stress relief,3+,Li-Ning,Monthly,Performance,Recommendation,<1 month,Offline store,Strings,Grips,Competitive player,Somewhat important,No,Yes,Maybe,Yes,3000+,10000+,Buy branded,Likely,1,9,13,8
18-24,Male,Tier 1,Student,1-2/week,Intermediate,Indoor courts,Stress relief,Competition,2,Decathlon,Rarely,Brand,Performance,3-6 months,Brand store,Shuttlecocks,Apparel,Fitness-focused,Not important,Maybe,No,Maybe,Maybe,500-1500,5000-10000,Buy branded,Neutral,0,5,7,4
25-34,Female,Tier 1,Working Professional,3-5/week,Beginner,Society/club,Competition,Fitness,2,Li-Ning,2-3 months,Recommendation,,3-6 months,Online,Shuttlecocks,,Casual player,Very important,Maybe,Yes,No,Yes,500-1500,2000-5000,Buy branded,Unlikely,0,5,6,5
25-34,Male,Tier 2,Working Professional,Rarely,Beginner,Society/club,Stress relief,Fitness,1,Others,Never,Performance,Price,1-3 months,Offline store,Apparel,Shuttlecocks,Casual player,Somewhat important,No,Yes,Yes,No,500-1500,<2000,Buy immediately,Neutral,0,2,3,4
25-34,Male,Tier 1,Working Professional,Daily,Intermediate,Indoor courts,Stress relief,,1,Yonex,2-3 months,Brand,Price,3-6 months,Brand store,Grips,Strings,Competitive player,Very important,Maybe,No,Maybe,Yes,1500-3000,5000-10000,Skip,Likely,1,7,9,7
Under 18,Male,Tier 3,Student,1-2/week,Advanced,Indoor courts,Fitness,Competition,3+,Li-Ning,2-3 months,Price,,<1 month,Online,Shoes,,Aspiring professional,Very important,Yes,No,Maybe,Yes,500-1500,<2000,Borrow,Very likely,1,6,9,5
18-24,Female,Tier 3,Student,Rarely,Beginner,Outdoor,Competition,Stress relief,1,Others,Rarely,Performance,Recommendation,<1 month,Online,Shuttlecocks,,Fitness-focused,Not important,Yes,No,No,Yes,500-1500,2000-5000,Buy immediately,Likely,1,2,3,4
35-44,Male,Tier 1,Others,1-2/week,Beginner,Outdoor,Socializing,,1,Yonex,Rarely,Price,,1-3 months,Offline store,Shuttlecocks,Grips,Casual player,Not important,Yes,No,Yes,Yes,0-500,2000-5000,Borrow,Very likely,1,4,5,2
35-44,Female,Tier 2,Working Professional,Daily,Competitive,Outdoor,Stress relief,Fitness,3+,Decathlon,Monthly,Recommendation,,1-3 months,Offline store,Shuttlecocks,Shoes,Aspiring professional,Very important,Yes,No,No,Yes,3000+,5000-10000,Buy branded,Neutral,0,9,13,9
Under 18,Male,Tier 2,Student,1-2/week,Beginner,Society/club,Competition,,1,Decathlon,Rarely,Recommendation,Price,<1 month,Brand store,Shuttlecocks,,Casual player,Not important,No,Yes,Maybe,Maybe,1500-3000,5000-10000,Skip,Likely,1,4,5,6
45+,Male,Tier 1,Business Owner,1-2/week,Competitive,Society/club,Socializing,Competition,2,Yonex,2-3 months,Brand,,1-3 months,Online,Grips,,Competitive player,Very important,Yes,Yes,Yes,Yes,3000+,2000-5000,Skip,Very likely,1,7,11,9
18-24,Female,Tier 1,Student,3-5/week,Intermediate,Indoor courts,Competition,Stress relief,3+,Decathlon,Rarely,Brand,,<1 month,Online,Grips,Apparel,Fitness-focused,Somewhat important,No,Yes,Maybe,Maybe,500-1500,<2000,Buy immediately,Unlikely,0,6,8,4
25-34,Male,Tier 2,Working Professional,1-2/week,Intermediate,Society/club,Stress relief,Competition,2,Decathlon,2-3 months,Performance,Price,<1 month,Offline store,Shuttlecocks,Grips,Fitness-focused,Not important,Maybe,Yes,Maybe,Maybe,500-1500,2000-5000,Skip,Unlikely,0,5,7,4
35-44,Male,Tier 2,Working Professional,Occasionally,Beginner,Indoor courts,Competition,,1,Decathlon,Rarely,Performance,,3-6 months,Online,Grips,Apparel,Casual player,Somewhat important,Maybe,No,Yes,Yes,0-500,2000-5000,Skip,Likely,1,3,4,2
35-44,Male,Tier 2,Working Professional,Occasionally,Intermediate,Society/club,Stress relief,Fitness,2,Decathlon,Rarely,Brand,,3-6 months,Brand store,Strings,,Fitness-focused,Not important,No,No,Yes,Yes,500-1500,<2000,Buy immediately,Unlikely,0,4,6,4
45+,Male,Tier 2,Working Professional,Daily,Advanced,Outdoor,Competition,,3+,Yonex,Rarely,Price,,<1 month,Brand store,Shuttlecocks,Grips,Competitive player,Not important,No,No,Yes,No,3000+,5000-10000,Buy immediately,Very likely,1,8,11,8
18-24,Male,Tier 3,Working Professional,3-5/week,Beginner,Outdoor,Fitness,Socializing,1,Yonex,Rarely,Performance,Price,1-3 months,Offline store,Strings,Grips,Casual player,Not important,No,Yes,Yes,Yes,0-500,<2000,Skip,Likely,1,5,6,2
35-44,Male,Tier 3,Working Professional,3-5/week,Intermediate,Society/club,Socializing,,2,Li-Ning,Rarely,Price,Performance,<1 month,Offline store,Shuttlecocks,Strings,Casual player,Somewhat important,Yes,No,Maybe,Yes,500-1500,2000-5000,Skip,Very likely,1,6,8,4
